ltla_name,ltla_code,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Barking and Dagenham,E09000002,2020-12-08,2021-02-21,1st dose,70-74,4059,4836,0.8393300248138957
Barnet,E09000003,2020-12-08,2021-02-21,1st dose,70-74,12806,14410,0.8886884108258154
Bexley,E09000004,2020-12-08,2021-02-21,1st dose,70-74,9800,10250,0.9560975609756097
Brent,E09000005,2020-12-08,2021-02-21,1st dose,70-74,7961,9845,0.8086338242762824
Bromley,E09000006,2020-12-08,2021-02-21,1st dose,70-74,14478,15383,0.9411688227263862
Camden,E09000007,2020-12-08,2021-02-21,1st dose,70-74,5761,8603,0.6696501220504475
Croydon,E09000008,2020-12-08,2021-02-21,1st dose,70-74,11998,13362,0.8979194731327645
Ealing,E09000009,2020-12-08,2021-02-21,1st dose,70-74,10005,10855,0.9216950713956702
Enfield,E09000010,2020-12-08,2021-02-21,1st dose,70-74,9770,10921,0.8946067209962457
Greenwich,E09000011,2020-12-08,2021-02-21,1st dose,70-74,7104,8074,0.879861283131038
Hackney and City of London,E09000012,2020-12-08,2021-02-21,1st dose,70-74,4706,5876,0.8008849557522124
Hammersmith and Fulham,E09000013,2020-12-08,2021-02-21,1st dose,70-74,4235,5365,0.7893755824790307
Haringey,E09000014,2020-12-08,2021-02-21,1st dose,70-74,6043,7154,0.8447022644674308
Harrow,E09000015,2020-12-08,2021-02-21,1st dose,70-74,8975,9792,0.9165645424836601
Havering,E09000016,2020-12-08,2021-02-21,1st dose,70-74,11253,11960,0.940886287625418
Hillingdon,E09000017,2020-12-08,2021-02-21,1st dose,70-74,9540,10449,0.9130060292850991
Hounslow,E09000018,2020-12-08,2021-02-21,1st dose,70-74,7907,8538,0.9260951042398688
Islington,E09000019,2020-12-08,2021-02-21,1st dose,70-74,4731,5651,0.837196956290922
Kensington and Chelsea,E09000020,2020-12-08,2021-02-21,1st dose,70-74,4417,6734,0.6559251559251559
Kingston upon Thames,E09000021,2020-12-08,2021-02-21,1st dose,70-74,6134,6460,0.9495356037151703
Lambeth,E09000022,2020-12-08,2021-02-21,1st dose,70-74,5700,6650,0.8571428571428571
Lewisham,E09000023,2020-12-08,2021-02-21,1st dose,70-74,5938,7101,0.8362202506689199
Merton,E09000024,2020-12-08,2021-02-21,1st dose,70-74,6240,6684,0.933572710951526
Newham,E09000025,2020-12-08,2021-02-21,1st dose,70-74,5172,6507,0.7948363301060396
Redbridge,E09000026,2020-12-08,2021-02-21,1st dose,70-74,8563,9526,0.8989082511022465
Richmond upon Thames,E09000027,2020-12-08,2021-02-21,1st dose,70-74,7986,8506,0.9388666823418763
Southwark,E09000028,2020-12-08,2021-02-21,1st dose,70-74,5530,6822,0.8106127235414834
Sutton,E09000029,2020-12-08,2021-02-21,1st dose,70-74,7740,8335,0.9286142771445711
Tower Hamlets,E09000030,2020-12-08,2021-02-21,1st dose,70-74,3679,4999,0.7359471894378876
Waltham Forest,E09000031,2020-12-08,2021-02-21,1st dose,70-74,6109,7494,0.8151854817187083
Wandsworth,E09000032,2020-12-08,2021-02-21,1st dose,70-74,7332,8167,0.8977592751316272
Westminster,E09000033,2020-12-08,2021-02-21,1st dose,70-74,5026,8237,0.6101736068957144
Barking and Dagenham,E09000002,2020-12-08,2021-02-21,1st dose,75-79,2805,3339,0.8400718778077269
Barnet,E09000003,2020-12-08,2021-02-21,1st dose,75-79,9464,10286,0.9200855531790784
Bexley,E09000004,2020-12-08,2021-02-21,1st dose,75-79,7332,7534,0.9731882134324396
Brent,E09000005,2020-12-08,2021-02-21,1st dose,75-79,5888,7339,0.8022891402098379
Bromley,E09000006,2020-12-08,2021-02-21,1st dose,75-79,10654,10705,0.9952358710882765
Camden,E09000007,2020-12-08,2021-02-21,1st dose,75-79,4357,5890,0.7397283531409168
Croydon,E09000008,2020-12-08,2021-02-21,1st dose,75-79,8527,9457,0.9016601459236544
Ealing,E09000009,2020-12-08,2021-02-21,1st dose,75-79,7093,7907,0.8970532439610471
Enfield,E09000010,2020-12-08,2021-02-21,1st dose,75-79,7214,8490,0.8497055359246172
Greenwich,E09000011,2020-12-08,2021-02-21,1st dose,75-79,5009,5356,0.9352128454070202
Hackney and City of London,E09000012,2020-12-08,2021-02-21,1st dose,75-79,3058,3981,0.7681487063551872
Hammersmith and Fulham,E09000013,2020-12-08,2021-02-21,1st dose,75-79,3001,3731,0.8043419994639507
Haringey,E09000014,2020-12-08,2021-02-21,1st dose,75-79,4121,4858,0.8482914779744751
Harrow,E09000015,2020-12-08,2021-02-21,1st dose,75-79,6764,7131,0.9485345673818539
Havering,E09000016,2020-12-08,2021-02-21,1st dose,75-79,8226,8453,0.9731456287708505
Hillingdon,E09000017,2020-12-08,2021-02-21,1st dose,75-79,6949,7522,0.9238234512097846
Hounslow,E09000018,2020-12-08,2021-02-21,1st dose,75-79,5432,5929,0.9161747343565525
Islington,E09000019,2020-12-08,2021-02-21,1st dose,75-79,3186,3865,0.8243208279430789
Kensington and Chelsea,E09000020,2020-12-08,2021-02-21,1st dose,75-79,3443,4786,0.7193898871709151
Kingston upon Thames,E09000021,2020-12-08,2021-02-21,1st dose,75-79,4306,4393,0.9801957659913498
Lambeth,E09000022,2020-12-08,2021-02-21,1st dose,75-79,3821,4809,0.7945518818881264
Lewisham,E09000023,2020-12-08,2021-02-21,1st dose,75-79,4319,5115,0.8443792766373411
Merton,E09000024,2020-12-08,2021-02-21,1st dose,75-79,4260,4690,0.908315565031983
Newham,E09000025,2020-12-08,2021-02-21,1st dose,75-79,3319,4733,0.7012465666596239
Redbridge,E09000026,2020-12-08,2021-02-21,1st dose,75-79,6041,6814,0.8865570883475198
Richmond upon Thames,E09000027,2020-12-08,2021-02-21,1st dose,75-79,5716,5656,1.0106082036775106
Southwark,E09000028,2020-12-08,2021-02-21,1st dose,75-79,3606,4777,0.7548670713837137
Sutton,E09000029,2020-12-08,2021-02-21,1st dose,75-79,5552,5720,0.9706293706293706
Tower Hamlets,E09000030,2020-12-08,2021-02-21,1st dose,75-79,2397,3465,0.6917748917748918
Waltham Forest,E09000031,2020-12-08,2021-02-21,1st dose,75-79,4380,5223,0.8385985066053991
Wandsworth,E09000032,2020-12-08,2021-02-21,1st dose,75-79,5022,5700,0.8810526315789474
Westminster,E09000033,2020-12-08,2021-02-21,1st dose,75-79,3951,5656,0.6985502121640735
Barking and Dagenham,E09000002,2020-12-08,2021-02-21,1st dose,80+,4478,5685,0.7876868953386104
Barnet,E09000003,2020-12-08,2021-02-21,1st dose,80+,14383,16910,0.8505617977528089
Bexley,E09000004,2020-12-08,2021-02-21,1st dose,80+,11422,12831,0.8901878263580392
Brent,E09000005,2020-12-08,2021-02-21,1st dose,80+,8798,11307,0.7781020606703812
Bromley,E09000006,2020-12-08,2021-02-21,1st dose,80+,16405,17418,0.9418417728786314
Camden,E09000007,2020-12-08,2021-02-21,1st dose,80+,5691,8858,0.64247008354030255
Croydon,E09000008,2020-12-08,2021-02-21,1st dose,80+,12493,14802,0.8440075665450615
Ealing,E09000009,2020-12-08,2021-02-21,1st dose,80+,10341,12405,0.8336154776299879
Enfield,E09000010,2020-12-08,2021-02-21,1st dose,80+,11250,12809,0.8782887032555234
Greenwich,E09000011,2020-12-08,2021-02-21,1st dose,80+,6576,7939,0.8283159088046353
Hackney and City of London,E09000012,2020-12-08,2021-02-21,1st dose,80+,4049,5950,0.6805042016806723
Hammersmith and Fulham,E09000013,2020-12-08,2021-02-21,1st dose,80+,4114,5274,0.7800530906332954
Haringey,E09000014,2020-12-08,2021-02-21,1st dose,80+,5602,7158,0.7826208438111204
Harrow,E09000015,2020-12-08,2021-02-21,1st dose,80+,10575,11813,0.8952002031660036
Havering,E09000016,2020-12-08,2021-02-21,1st dose,80+,12589,14470,0.8700069108500346
Hillingdon,E09000017,2020-12-08,2021-02-21,1st dose,80+,10966,12140,0.9032948929159802
