areaCode,areaName,areaType,date,cumCasesBySpecimenDate
E12000001,North East,region,2021-05-31,195565
E12000001,North East,region,2021-05-30,195523
E12000001,North East,region,2021-05-29,195445
E12000001,North East,region,2021-05-28,195344
E12000001,North East,region,2021-05-27,195245
E12000001,North East,region,2021-05-26,195152
E12000001,North East,region,2021-05-25,195060
E12000001,North East,region,2021-05-24,194970
E12000001,North East,region,2021-05-23,194892
E12000001,North East,region,2021-05-22,194814
E12000001,North East,region,2021-05-21,194760
E12000001,North East,region,2021-05-20,194698
E12000001,North East,region,2021-05-19,194633
E12000001,North East,region,2021-05-18,194554
E12000001,North East,region,2021-05-17,194461
E12000001,North East,region,2021-05-16,194363
E12000001,North East,region,2021-05-15,194290
E12000001,North East,region,2021-05-14,194242
E12000001,North East,region,2021-05-13,194180
E12000001,North East,region,2021-05-12,194103
E12000001,North East,region,2021-05-11,194029
E12000001,North East,region,2021-05-10,193934
E12000001,North East,region,2021-05-09,193867
E12000001,North East,region,2021-05-08,193770
E12000001,North East,region,2021-05-07,193711
E12000001,North East,region,2021-05-06,193639
E12000001,North East,region,2021-05-05,193558
E12000001,North East,region,2021-05-04,193472
E12000001,North East,region,2021-05-03,193357
E12000001,North East,region,2021-05-02,193289
E12000001,North East,region,2021-05-01,193235
E12000001,North East,region,2021-04-30,193185
E12000001,North East,region,2021-04-29,193119
E12000001,North East,region,2021-04-28,193050
E12000001,North East,region,2021-04-27,192969
E12000001,North East,region,2021-04-26,192870
E12000001,North East,region,2021-04-25,192765
E12000001,North East,region,2021-04-24,192676
E12000001,North East,region,2021-04-23,192620
E12000001,North East,region,2021-04-22,192546
E12000001,North East,region,2021-04-21,192489
E12000001,North East,region,2021-04-20,192387
E12000001,North East,region,2021-04-19,192308
E12000001,North East,region,2021-04-18,192214
E12000001,North East,region,2021-04-17,192122
E12000001,North East,region,2021-04-16,192057
E12000001,North East,region,2021-04-15,191970
E12000001,North East,region,2021-04-14,191897
E12000001,North East,region,2021-04-13,191806
E12000001,North East,region,2021-04-12,191750
E12000001,North East,region,2021-04-11,191663
E12000001,North East,region,2021-04-10,191550
E12000001,North East,region,2021-04-09,191472
E12000001,North East,region,2021-04-08,191381
E12000001,North East,region,2021-04-07,191283
E12000001,North East,region,2021-04-06,191167
E12000001,North East,region,2021-04-05,191037
E12000001,North East,region,2021-04-04,190910
E12000001,North East,region,2021-04-03,190807
E12000001,North East,region,2021-04-02,190708
E12000001,North East,region,2021-04-01,190612
E12000001,North East,region,2021-03-31,190465
E12000001,North East,region,2021-03-30,190248
E12000001,North East,region,2021-03-29,190073
